PlayerID,Name,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,League,Season
1aac3a11,Burak Kavraz,,DF,19,0,0,,,,,,,,,,,,,,,,Matches,UEFA Conference League,2024-2025
7b2c3926,Abdoulaye Yoro,ci CIV,FW,17,0,0,,,,,,,,,,,,,,,,Matches,UEFA Conference League,2024-2025
94ff9075,Gabriel Pereira,br BRA,DF,24,26,25,"2,146",23.8,3,1,4,3,0,0,5,0,0.13,0.04,0.17,0.13,0.17,Matches,UEFA Conference League,2024-2025
78a3c38e,Pantelis Hatzidiakos,gr GRE,DF,27,24,24,"2,152",23.9,1,2,3,1,0,0,7,0,0.04,0.08,0.13,0.04,0.13,Matches,UEFA Conference League,2024-2025
046ca6db,Victor Froholdt,dk DEN,MF,18,30,21,"2,022",22.5,3,2,5,3,0,0,4,0,0.13,0.09,0.22,0.13,0.22,Matches,UEFA Conference League,2024-2025
68dc0dac,Mohamed Elyounoussi,no NOR,"MF,FW",29,27,21,"2,002",22.2,8,7,15,8,0,1,0,0,0.36,0.31,0.67,0.36,0.67,Matches,UEFA Conference League,2024-2025
fe641c1a,Thomas Delaney,dk DEN,MF,32,24,20,"1,649",18.3,5,3,8,5,0,0,8,0,0.27,0.16,0.44,0.27,0.44,Matches,UEFA Conference League,2024-2025
f179ee11,Kevin Diks,id IDN,DF,27,24,19,"1,644",18.3,5,2,7,0,5,5,2,0,0.27,0.11,0.38,0.00,0.11,Matches,UEFA Conference League,2024-2025
72984eee,Jordan Larsson,se SWE,"MF,FW",27,19,18,"1,290",14.3,8,2,10,8,0,0,4,0,0.56,0.14,0.70,0.56,0.70,Matches,UEFA Conference League,2024-2025
7494bea9,Nathan Trott,eng ENG,GK,25,17,17,"1,530",17.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
1b82f8df,Lukas Lerager,dk DEN,MF,31,24,16,"1,565",17.4,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches,UEFA Conference League,2024-2025
9e02eca8,Rodrigo Huescas,mx MEX,"DF,MF",20,19,16,"1,504",16.7,1,2,3,1,0,0,5,0,0.06,0.12,0.18,0.06,0.18,Matches,UEFA Conference League,2024-2025
3a089320,Magnus Mattsson,dk DEN,"MF,FW",25,31,16,"1,290",14.3,3,1,4,2,1,1,2,0,0.21,0.07,0.28,0.14,0.21,Matches,UEFA Conference League,2024-2025
4dd2a0be,Elias Achouri,tn TUN,"MF,FW",25,23,15,"1,480",16.4,2,5,7,2,0,0,5,0,0.12,0.30,0.43,0.12,0.43,Matches,UEFA Conference League,2024-2025
b3a712de,Viktor Claesson,se SWE,"MF,FW",32,28,15,"1,465",16.3,6,4,10,6,0,0,1,0,0.37,0.25,0.61,0.37,0.61,Matches,UEFA Conference League,2024-2025
50f9bec6,Giorgi Gocholeishvili,ge GEO,DF,23,21,15,"1,397",15.5,1,1,2,1,0,0,3,0,0.06,0.06,0.13,0.06,0.13,Matches,UEFA Conference League,2024-2025
9b3ab988,Marcos López,pe PER,DF,24,17,15,"1,276",14.2,1,3,4,1,0,0,2,1,0.07,0.21,0.28,0.07,0.28,Matches,UEFA Conference League,2024-2025
c693347d,Andreas Cornelius,dk DEN,FW,31,19,12,"1,118",12.4,3,4,7,3,0,0,4,0,0.24,0.32,0.56,0.24,0.56,Matches,UEFA Conference League,2024-2025
b90c4a43,Diant Ramaj,de GER,GK,22,12,12,"1,079",12.0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
6825ea4c,Robert,br BRA,MF,19,14,9,612,6.8,1,3,4,1,0,0,0,0,0.15,0.44,0.59,0.15,0.59,Matches,UEFA Conference League,2024-2025
d27a449b,Munashe Garan'anga,zw ZIM,DF,23,11,7,636,7.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
70c52749,Birger Meling,no NOR,"DF,MF",29,10,7,538,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
b9beb6c5,William Clem,dk DEN,MF,20,13,6,631,7.0,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches,UEFA Conference League,2024-2025
d0b8e745,Orri Steinn Óskarsson,is ISL,FW,19,6,5,476,5.3,5,0,5,5,0,0,0,0,0.95,0.00,0.95,0.95,0.95,Matches,UEFA Conference League,2024-2025
762179d9,Rasmus Falk,dk DEN,MF,32,12,4,490,5.4,0,1,1,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,Matches,UEFA Conference League,2024-2025
53955b35,Amin Chiakha,dz ALG,FW,18,17,4,460,5.1,2,0,2,2,0,0,2,0,0.39,0.00,0.39,0.39,0.39,Matches,UEFA Conference League,2024-2025
08990838,Denis Vavro,sk SVK,DF,28,5,3,295,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
e736dac8,Theo Sander,dk DEN,GK,19,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
03e561d1,German Onugkha,ru RUS,FW,28,4,3,212,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
88ce7ddc,Roony Bardghji,se SWE,MF,18,5,2,229,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,UEFA Conference League,2024-2025
